Parametro,Valor,Unidad
PRE,steel_pretreatment_Height,
POST,steel_posttreatment_Height,
---ALINEACION---,,
Y shift (POST en PRE),0.012,mm
X shift (POST en PRE),0.012,mm
Confianza alineacion,1.000,
SNR alineacion,19.29,
Solapamiento,99.9,%
theta_x,-0.0024,deg
theta_y,-0.0002,deg
R2 rotacion,0.0013,
Correccion rotacion,NO,
Rotacion en plano,-0.156,deg
---Z OFFSET---,,
dZ global (POST-PRE),0.000,um
---DIFERENCIAS GLOBALES---,,
Puntos validos,2742637,px
Area analisis,382.7915,mm2
Media diff,-0.0008,um
Std diff,5.2271,um
RMS diff,5.2271,um
---ABLACION (POST < PRE)---,,
Area ablacion,76.6596,mm2
Prof. max ablacion,-63.4573,um
Media ablacion,-8.8046,um
Volumen ablacion,0.674959,mm3
---DEPOSICION (POST > PRE)---,,
Area deposicion,75.8605,mm2
Alt. max deposicion,60.4867,um
Volumen deposicion,0.648928,mm3
