x_mm,y_mm
0.000000000,0.009898757
0.003846154,0.009000000
0.007692308,0.009000000
0.011538462,0.008815932
0.015384615,0.008412403
0.019230769,0.008935630
0.023076923,0.009000000
0.026923077,0.008323649
0.030769231,0.007196485
0.034615385,0.006540215
0.038461538,0.005991227
0.042307692,0.005982617
0.046153846,0.007137049
0.050000000,0.011286352
0.053846154,0.016415941
0.057692308,0.020344558
0.061538462,0.019162213
0.065384615,0.014720007
0.069230769,0.007519133
0.073076923,0.000997415
0.076923077,-0.003775800
0.080769231,-0.005233802
0.084615385,-0.004123753
0.088461538,-0.001161903
0.092307692,0.002347614
0.096153846,0.007177981
0.100000000,0.009444309
0.103846154,0.008055239
0.107692308,0.004041305
0.111538462,-0.001375737
0.115384615,-0.005982002
0.119230769,-0.007963705
0.123076923,-0.008070322
0.126923077,-0.005842888
0.130769231,-0.002002185
0.134615385,0.000813689
0.138461538,0.002864506
0.142307692,0.004436048
0.146153846,0.005795731
0.150000000,0.007471360
0.153846154,0.009561011
0.157692308,0.011564780
0.161538462,0.013234465
0.165384615,0.014469042
0.169230769,0.014736201
0.173076923,0.014214733
0.176923077,0.015013861
0.180769231,0.016575527
0.184615385,0.019383200
0.188461538,0.021461033
0.192307692,0.020264001
0.196153846,0.015552829
0.200000000,0.009756394
0.203846154,0.005697757
0.207692308,0.004274953
0.211538462,0.004687667
0.215384615,0.006598715
0.219230769,0.008209471
0.223076923,0.010037954
0.226923077,0.012228239
0.230769231,0.016528989
0.234615385,0.022628885
0.238461538,0.029249260
0.242307692,0.033996102
0.246153846,0.038930334
0.250000000,0.043358321
0.253846154,0.046781338
0.257692308,0.049216599
0.261538462,0.050000001
0.265384615,0.049871092
0.269230769,0.048981239
0.273076923,0.048375933
0.276923077,0.048000000
0.280769231,0.048542435
0.284615385,0.049075023
0.288461538,0.050731663
0.292307692,0.053465959
0.296153846,0.054732897
0.300000000,0.054221697
0.303846154,0.052016479
0.307692308,0.049285544
0.311538462,0.046065123
0.315384615,0.043295531
0.319230769,0.040695044
0.323076923,0.038456295
0.326923077,0.036572628
0.330769231,0.036259649
0.334615385,0.038019039
