distance_mm,height_mm,level,x_profile_mm,y_profile_mm,x_samlight_mm,y_samlight_mm
0.000000,0.017986,0,4.286423,-1.742372,-34.168053,25.260178
0.003701,0.020474,0,4.289833,-1.743812,-34.164668,25.258692
0.007403,0.021184,0,4.293243,-1.745252,-34.161284,25.257205
0.011104,0.018168,0,4.296653,-1.746692,-34.157899,25.255719
0.014806,0.013234,0,4.300063,-1.748131,-34.154515,25.254233
0.018507,0.008008,0,4.303473,-1.749571,-34.151130,25.252747
0.022209,0.004915,0,4.306883,-1.751011,-34.147746,25.251260
0.025910,0.004095,0,4.310293,-1.752451,-34.144362,25.249774
0.029612,0.004843,0,4.313703,-1.753890,-34.140977,25.248288
0.033313,0.006939,0,4.317113,-1.755330,-34.137593,25.246801
0.037015,0.008379,0,4.320523,-1.756770,-34.134208,25.245315
0.040716,0.010223,0,4.323933,-1.758210,-34.130824,25.243829
0.044418,0.012464,0,4.327343,-1.759649,-34.127439,25.242342
0.048119,0.016753,0,4.330753,-1.761089,-34.124055,25.240856
0.051821,0.022699,0,4.334163,-1.762529,-34.120671,25.239370
0.055522,0.029079,2,4.337573,-1.763969,-34.117286,25.237883
0.059223,0.033693,2,4.340983,-1.765409,-34.113902,25.236397
0.062925,0.038425,2,4.344393,-1.766848,-34.110517,25.234911
0.066626,0.042834,2,4.347803,-1.768288,-34.107133,25.233425
0.070328,0.046299,2,4.351213,-1.769728,-34.103748,25.231938
0.074029,0.049021,2,4.354623,-1.771168,-34.100364,25.230452
0.077731,0.049940,2,4.358033,-1.772607,-34.096980,25.228966
0.081432,0.050000,2,4.361443,-1.774047,-34.093595,25.227479
0.085134,0.049220,2,4.364853,-1.775487,-34.090211,25.225993
0.088835,0.048669,2,4.368263,-1.776927,-34.086826,25.224507
0.092537,0.048139,2,4.371673,-1.778366,-34.083442,25.223020
0.096238,0.048405,2,4.375083,-1.779806,-34.080057,25.221534
0.099940,0.048822,2,4.378493,-1.781246,-34.076673,25.220048
0.103641,0.049761,2,4.381903,-1.782686,-34.073288,25.218562
0.107343,0.051902,2,4.385313,-1.784125,-34.069904,25.217075
0.111044,0.054264,2,4.388722,-1.785565,-34.066520,25.215589
0.114746,0.054780,2,4.392132,-1.787005,-34.063135,25.214103
0.118447,0.053742,2,4.395542,-1.788445,-34.059751,25.212616
0.122148,0.051129,2,4.398952,-1.789885,-34.056366,25.211130
0.125850,0.048517,2,4.402362,-1.791324,-34.052982,25.209644
0.129551,0.045448,2,4.405772,-1.792764,-34.049597,25.208157
0.133253,0.042740,2,4.409182,-1.794204,-34.046213,25.206671
0.136954,0.040361,2,4.412592,-1.795644,-34.042829,25.205185
0.140656,0.038166,2,4.416002,-1.797083,-34.039444,25.203699
0.144357,0.036498,2,4.419412,-1.798523,-34.036060,25.202212
0.148059,0.036291,2,4.422822,-1.799963,-34.032675,25.200726
0.151760,0.038027,2,4.426232,-1.801403,-34.029291,25.199240
0.155462,0.041189,2,4.429642,-1.802842,-34.025906,25.197753
0.159163,0.044355,2,4.433052,-1.804282,-34.022522,25.196267
0.162865,0.044309,2,4.436462,-1.805722,-34.019138,25.194781
0.166566,0.041638,2,4.439872,-1.807162,-34.015753,25.193294
0.170268,0.037188,2,4.443282,-1.808602,-34.012369,25.191808
0.173969,0.032573,2,4.446692,-1.810041,-34.008984,25.190322
0.177670,0.030116,2,4.450102,-1.811481,-34.005600,25.188835
0.181372,0.029798,2,4.453512,-1.812921,-34.002215,25.187349
0.185073,0.031968,2,4.456922,-1.814361,-33.998831,25.185863
0.188775,0.036061,2,4.460332,-1.815800,-33.995446,25.184377
0.192476,0.040907,2,4.463742,-1.817240,-33.992062,25.182890
0.196178,0.045369,2,4.467152,-1.818680,-33.988678,25.181404
0.199879,0.048521,2,4.470562,-1.820120,-33.985293,25.179918
0.203581,0.049177,2,4.473972,-1.821559,-33.981909,25.178431
0.207282,0.047712,2,4.477382,-1.822999,-33.978524,25.176945
0.210984,0.045643,2,4.480792,-1.824439,-33.975140,25.175459
0.214685,0.044334,2,4.484202,-1.825879,-33.971755,25.173972
0.218387,0.044000,2,4.487612,-1.827319,-33.968371,25.172486
0.222088,0.044825,2,4.491022,-1.828758,-33.964987,25.171000
0.225790,0.045858,2,4.494432,-1.830198,-33.961602,25.169514
0.229491,0.046508,2,4.497842,-1.831638,-33.958218,25.168027
0.233192,0.046961,2,4.501252,-1.833078,-33.954833,25.166541
0.236894,0.047492,2,4.504662,-1.834517,-33.951449,25.165055
0.240595,0.047769,2,4.508072,-1.835957,-33.948064,25.163568
0.244297,0.048418,2,4.511482,-1.837397,-33.944680,25.162082
0.247998,0.048822,2,4.514892,-1.838837,-33.941296,25.160596
0.251700,0.047481,2,4.518302,-1.840276,-33.937911,25.159109
0.255401,0.040967,2,4.521712,-1.841716,-33.934527,25.157623
0.259103,0.030339,2,4.525122,-1.843156,-33.931142,25.156137
0.262804,0.019356,0,4.528531,-1.844596,-33.927758,25.154651
0.266506,0.008833,0,4.531941,-1.846036,-33.924373,25.153164
0.270207,-0.000214,0,4.535351,-1.847475,-33.920989,25.151678
0.273909,-0.007012,0,4.538761,-1.848915,-33.917605,25.150192
0.277610,-0.013456,0,4.542171,-1.850355,-33.914220,25.148705
0.281312,-0.018527,0,4.545581,-1.851795,-33.910836,25.147219
0.285013,-0.022908,0,4.548991,-1.853234,-33.907451,25.145733
0.288715,-0.028183,0,4.552401,-1.854674,-33.904067,25.144246
0.292416,-0.034973,0,4.555811,-1.856114,-33.900682,25.142760
