distance_mm,height_mm,level,x_profile_mm,y_profile_mm,x_samlight_mm,y_samlight_mm
0.000000,-0.069070,2,4.064494,-3.143519,-50.006488,-0.000709
0.003705,-0.088265,2,4.061219,-3.145251,-50.009761,-0.002397
0.007411,-0.099205,2,4.057944,-3.146984,-50.013034,-0.004084
0.011116,-0.101177,2,4.054668,-3.148716,-50.016306,-0.005772
0.014821,-0.099171,2,4.051393,-3.150449,-50.019579,-0.007459
0.018527,-0.093502,2,4.048118,-3.152181,-50.022852,-0.009147
0.022232,-0.086899,2,4.044842,-3.153914,-50.026124,-0.010834
0.025937,-0.079520,2,4.041567,-3.155646,-50.029397,-0.012522
0.029643,-0.073387,2,4.038292,-3.157379,-50.032670,-0.014209
0.033348,-0.068571,2,4.035016,-3.159111,-50.035942,-0.015897
0.037053,-0.060652,2,4.031741,-3.160844,-50.039215,-0.017584
0.040759,-0.052438,2,4.028465,-3.162576,-50.042488,-0.019272
0.044464,-0.044297,2,4.025190,-3.164309,-50.045760,-0.020959
0.048169,-0.038616,2,4.021915,-3.166041,-50.049033,-0.022647
0.051875,-0.035348,2,4.018639,-3.167774,-50.052306,-0.024334
0.055580,-0.032143,2,4.015364,-3.169506,-50.055578,-0.026022
0.059285,-0.026523,2,4.012089,-3.171239,-50.058851,-0.027709
0.062991,-0.018400,2,4.008813,-3.172971,-50.062123,-0.029397
0.066696,-0.010049,2,4.005538,-3.174704,-50.065396,-0.031084
0.070401,-0.001012,2,4.002263,-3.176436,-50.068669,-0.032772
0.074107,0.015507,2,3.998987,-3.178169,-50.071941,-0.034459
0.077812,0.034376,2,3.995712,-3.179901,-50.075214,-0.036147
0.081517,0.049300,2,3.992437,-3.181634,-50.078487,-0.037834
0.085223,0.059488,2,3.989161,-3.183366,-50.081759,-0.039522
0.088928,0.062563,2,3.985886,-3.185099,-50.085032,-0.041209
0.092633,0.063372,2,3.982610,-3.186831,-50.088305,-0.042897
0.096339,0.062510,2,3.979335,-3.188564,-50.091577,-0.044584
0.100044,0.060742,2,3.976060,-3.190296,-50.094850,-0.046272
0.103749,0.058987,2,3.972784,-3.192029,-50.098123,-0.047959
0.107455,0.058103,2,3.969509,-3.193761,-50.101395,-0.049647
0.111160,0.058000,2,3.966234,-3.195494,-50.104668,-0.051334
0.114865,0.058000,2,3.962958,-3.197226,-50.107941,-0.053022
0.118571,0.058548,2,3.959683,-3.198959,-50.111213,-0.054709
